orderId,orderDetailId, orderDate, dueDate,itemId,description,quantity,uom,preAssignedContainerId
"249135",249135.6,"2015-01-28 12:00:00","2015-01-28 12:00:00","CPL-CS-12","Clear Flat Lid 10/12/16/20/24oz Cup","1","CS",249135
"249283",249283.3,"2015-01-28 12:00:00","2015-01-28 12:00:00","SP-PS-6","Spoon 6in.","3","CS",249283
"249279",249279.2,"2015-01-28 12:00:00","2015-01-28 12:00:00","SP-PS-6","Spoon 6in.","1","CS",249279
"249276",249276.29,"2015-01-28 12:00:00","2015-01-28 12:00:00","SP-PS-6","Spoon 6in.","7","CS",249276
"249248",249248.3,"2015-01-28 12:00:00","2015-01-28 12:00:00","SP-PS-6","Spoon 6in.","20","CS",249248
"248871",248871.15,"2015-01-28 12:00:00","2015-01-28 12:00:00","SP-PS-6","Spoon 6in.","42","CS",248871
"249083",249083.16,"2015-01-28 12:00:00","2015-01-28 12:00:00","SP-PS-6","Spoon 6in.","5","CS",249083
"249135",249135.15,"2015-01-28 12:00:00","2015-01-28 12:00:00","SP-PS-6","Spoon 6in.","4","CS",249135
"249127",249127.12,"2015-01-28 12:00:00","2015-01-28 12:00:00","SP-PS-6","Spoon 6in.","2","CS",249127
"249112",249112.5,"2015-01-28 12:00:00","2015-01-28 12:00:00","SP-PS-6","Spoon 6in.","8","CS",249112
"249162",249162.2,"2015-01-28 12:00:00","2015-01-28 12:00:00","SP-PS-6","Spoon 6in.","2","CS",249162
"249276",249276.23,"2015-01-28 12:00:00","2015-01-28 12:00:00","KN-PS-6","Knife 6in.","8","CS",249276
"249257",249257.2,"2015-01-28 12:00:00","2015-01-28 12:00:00","KN-PS-6","Knife 6in.","2","CS",249257
"249250",249250.5.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","KN-PS-6","Knife 6in.","44","CS",249250
"249250",249250.5,"2015-01-28 12:00:00","2015-01-28 12:00:00","KN-PS-6","Knife 6in.","31","CS",249250
"249248",249248.2,"2015-01-28 12:00:00","2015-01-28 12:00:00","KN-PS-6","Knife 6in.","20","CS",249248
"248871",248871.11,"2015-01-28 12:00:00","2015-01-28 12:00:00","KN-PS-6","Knife 6in.","36","CS",248871
"249112",249112.3,"2015-01-28 12:00:00","2015-01-28 12:00:00","KN-PS-6","Knife 6in.","4","CS",249112
"249083",249083.14.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","KN-PS-6","Knife 6in.","10","CS",249083
"249083",249083.14,"2015-01-28 12:00:00","2015-01-28 12:00:00","KN-PS-6","Knife 6in.","6","CS",249083
"249127",249127.9,"2015-01-28 12:00:00","2015-01-28 12:00:00","KN-PS-6","Knife 6in.","2","CS",249127
"249285",249285.3,"2015-01-28 12:00:00","2015-01-28 12:00:00","FO-PS-6","Fork 6in.","1","CS",249285
"249283",249283.2,"2015-01-28 12:00:00","2015-01-28 12:00:00","FO-PS-6","Fork 6in.","3","CS",249283
"249276",249276.19,"2015-01-28 12:00:00","2015-01-28 12:00:00","FO-PS-6","Fork 6in.","20","CS",249276
"249257",249257.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","FO-PS-6","Fork 6in.","2","CS",249257
"249251",249251.2,"2015-01-28 12:00:00","2015-01-28 12:00:00","FO-PS-6","Fork 6in.","1","CS",249251
"249250",249250.4,"2015-01-28 12:00:00","2015-01-28 12:00:00","FO-PS-6","Fork 6in.","100","CS",249250
"248871",248871.10,"2015-01-28 12:00:00","2015-01-28 12:00:00","FO-PS-6","Fork 6in.","64","CS",248871
"249135",249135.10,"2015-01-28 12:00:00","2015-01-28 12:00:00","FO-PS-6","Fork 6in.","4","CS",249135
"249127",249127.8,"2015-01-28 12:00:00","2015-01-28 12:00:00","FO-PS-6","Fork 6in.","2","CS",249127
"249162",249162.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","FO-PS-6","Fork 6in.","4","CS",249162
"249083",249083.17,"2015-01-28 12:00:00","2015-01-28 12:00:00","SP-PS-I","Spoon 6in. - Individual","2","CS",249083
"249261",249261.2,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-16","16oz Comp cups-FSC Mix Paper","1","CS",249261
"248871",248871.7.02,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-16","16oz Comp cups-FSC Mix Paper","9","CS",248871
"248871",248871.7.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-16","16oz Comp cups-FSC Mix Paper","2","CS",248871
"248871",248871.7,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-16","16oz Comp cups-FSC Mix Paper","19","CS",248871
"249088",249088.6.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-16","16oz Comp cups-FSC Mix Paper","26","CS",249088
"249088",249088.6,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-16","16oz Comp cups-FSC Mix Paper","2","CS",249088
"249083",249083.8,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-16","16oz Comp cups-FSC Mix Paper","3","CS",249083
"249260",249260.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-1S","1 oz Souffle Cup","3","CS",249260
"249276",249276.13,"2015-01-28 12:00:00","2015-01-28 12:00:00","CPL-CS-2S","Clear Flat Lid for 2 oz cups","2","CS",249276
"249256",249256.6,"2015-01-28 12:00:00","2015-01-28 12:00:00","CPL-CS-2S","Clear Flat Lid for 2 oz cups","3","CS",249256
"248871",248871.5,"2015-01-28 12:00:00","2015-01-28 12:00:00","CPL-CS-2S","Clear Flat Lid for 2 oz cups","2","CS",248871
"249135",249135.7,"2015-01-28 12:00:00","2015-01-28 12:00:00","CPL-CS-2S","Clear Flat Lid for 2 oz cups","1","CS",249135
"249127",249127.2,"2015-01-28 12:00:00","2015-01-28 12:00:00","BBL-SC-U12","Lid 12 oz Barrel Bowl Unbleached","1","CS",249127
"249281",249281.5,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-9","9 oz Clear Cup","5","CS",249281
"249265",249265.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-9","9 oz Clear Cup","4","CS",249265
"249272",249272.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-12","12 oz Clear Cup","1","CS",249272
"249281",249281.4,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-20","20 oz Clear Cup","10","CS",249281
"249276",249276.7,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-20","20 oz Clear Cup","2","CS",249276
"248871",248871.2.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-20","20 oz Clear Cup","15","CS",248871
"248871",248871.2,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-20","20 oz Clear Cup","3","CS",248871
"249135",249135.4,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-20","20 oz Clear Cup","1","CS",249135
"249276",249276.14,"2015-01-28 12:00:00","2015-01-28 12:00:00","CPL-CS-9","Clear Flat Lid for 5/6/7/9 oz Cup","5","CS",249276
"249087",249087.4.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","CPL-CS-9","Clear Flat Lid for 5/6/7/9 oz Cup","21","CS",249087
"249087",249087.4,"2015-01-28 12:00:00","2015-01-28 12:00:00","CPL-CS-9","Clear Flat Lid for 5/6/7/9 oz Cup","3","CS",249087
"249276",249276.12,"2015-01-28 12:00:00","2015-01-28 12:00:00","CPL-CS-12D","Clear Dome Lid 10/12/16/20/24oz Cup","5","CS",249276
"249256",249256.5,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-2S","2 oz Souffle Cup","3","CS",249256
"249255",249255.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-2S","2 oz Souffle Cup","2","CS",249255
"248871",248871.3,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-2S","2 oz Souffle Cup","2","CS",248871
"249135",249135.5,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-2S","2 oz Souffle Cup","2","CS",249135
"249276",249276.9,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-4S","4 oz Souffle Cup - 1000/case","10","CS",249276
"248871",248871.4,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-4S","4 oz Souffle Cup - 1000/case","16","CS",248871
"249127",249127.1.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","BB-SC-U12","12 oz Barrel Bowl Unbleached","2","CS",249127
"249127",249127.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","BB-SC-U12","12 oz Barrel Bowl Unbleached","1","CS",249127
"249267",249267.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","PL-SC-U10T","10in. 3 Compt. Unbleach Plate","2","CS",249267
"249247",249247.1.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","ST-CS-8","7.7in. unwrapped/ .25in. dia.","13","CS",249247
"249247",249247.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","ST-CS-8","7.7in. unwrapped/ .25in. dia.","7","CS",249247
"249276",249276.15,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-12","12 oz Compt Cups FSC Mix Paper","8","CS",249276
"249274",249274.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-12","12 oz Compt Cups FSC Mix Paper","1","CS",249274
"249261",249261.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-12","12 oz Compt Cups FSC Mix Paper","1","CS",249261
"248871",248871.6,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-12","12 oz Compt Cups FSC Mix Paper","96","CS",248871
"249088",249088.5,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-12","12 oz Compt Cups FSC Mix Paper","23","CS",249088
"249087",249087.5,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-12","12 oz Compt Cups FSC Mix Paper","72","CS",249087
"249083",249083.7,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-12","12 oz Compt Cups FSC Mix Paper","10","CS",249083
"249127",249127.5,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-12","12 oz Compt Cups FSC Mix Paper","12","CS",249127
"248181",248181.55,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-4-P","4 OZ. HOT PAPER/PLA CUP - IN PACK","1","PK",248181
"248181",248181.56,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-6-P","6 OZ HOT PAPER / PLA CUP - IN PACK","1","PK",248181
"248181",248181.21,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-20-P","20 oz Clear Cup  50/pack","1","PK",248181
"248181",248181.23,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-2S-P","2 oz Souffle Cup- Pack of 100","1","PK",248181
"248181",248181.26,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-4S-P","4 oz Souffle Cup  50/pack","1","PK",248181
"248181",248181.28,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-6-P","6 oz Clear Cup  50/pack","1","PK",248181
"249249",249249.3,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-6-P","6 oz Clear Cup  50/pack","10","PK",249249
"248181",248181.30,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-9-P","9 oz Clear Cup  50/pack","1","PK",248181
"248181",248181.37,"2015-01-28 12:00:00","2015-01-28 12:00:00","CPL-CS-9-P","Clear Flat Lid for 5/6/7/9 oz Cup 50/pk","1","PK",248181
"248181",248181.36,"2015-01-28 12:00:00","2015-01-28 12:00:00","CPL-CS-9-P","Clear Flat Lid for 5/6/7/9 oz Cup 50/pk","1","PK",248181
"248181",248181.44,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-10-P","10 oz Hot Cup  50/pack","1","PK",248181
"248181",248181.50,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-16-P","16 oz Hot Cup  50/pack","1","PK",248181
"249278",249278.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-16-P","16 oz Hot Cup  50/pack","10","PK",249278
"249240",249240.11,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-16-P","16 oz Hot Cup  50/pack","1","PK",249240
"248181",248181.66,"2015-01-28 12:00:00","2015-01-28 12:00:00","DC-CS-12-P","12 oz Clear Round Deli Container  50/pk","1","PK",248181
"249293",249293.4,"2015-01-28 12:00:00","2015-01-28 12:00:00","DC-CS-24-P","24 oz Clear Round Deli Container  50/pk","1","PK",249293
"248987",248987.1.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","PL-SC-U10","10in. Unbleached Plate","88","CS",248987
"248987",248987.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","PL-SC-U10","10in. Unbleached Plate","20","CS",248987
"249274",249274.3,"2015-01-28 12:00:00","2015-01-28 12:00:00","PL-SC-U10","10in. Unbleached Plate","1","CS",249274
"249265",249265.2,"2015-01-28 12:00:00","2015-01-28 12:00:00","PL-SC-U10","10in. Unbleached Plate","1","CS",249265
"248871",248871.12.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","PL-SC-U10","10in. Unbleached Plate","35","CS",248871
"248871",248871.12,"2015-01-28 12:00:00","2015-01-28 12:00:00","PL-SC-U10","10in. Unbleached Plate","1","CS",248871
"249110",249110.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","PL-SC-U10","10in. Unbleached Plate","1","CS",249110
"249088",249088.9,"2015-01-28 12:00:00","2015-01-28 12:00:00","PL-SC-U10","10in. Unbleached Plate","9","CS",249088
"248181",248181.17,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-12-P","12 oz Clear Cup  50/pack","1","PK",248181
"249249",249249.2,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-12-P","12 oz Clear Cup  50/pack","15","PK",249249
"248871",248871.1.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","BO-SC-U11","11.5 OZ UNBLEACHED BOWLS","17","CS",248871
"248871",248871.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","BO-SC-U11","11.5 OZ UNBLEACHED BOWLS","19","CS",248871
"248685",248685.1.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","BO-SC-U11","11.5 OZ UNBLEACHED BOWLS","7","CS",248685
"248685",248685.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","BO-SC-U11","11.5 OZ UNBLEACHED BOWLS","5","CS",248685
"249083",249083.19,"2015-01-28 12:00:00","2015-01-28 12:00:00","TO-SC-U9T","9 Three Compartment Unbleached Clamshel","5","CS",249083
"249281",249281.11.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","TO-SC-U9","9 Unbleached Clamshells","6","CS",249281
"249281",249281.11,"2015-01-28 12:00:00","2015-01-28 12:00:00","TO-SC-U9","9 Unbleached Clamshells","4","CS",249281
"249250",249250.10.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","TO-SC-U9","9 Unbleached Clamshells","2","CS",249250
"249250",249250.10,"2015-01-28 12:00:00","2015-01-28 12:00:00","TO-SC-U9","9 Unbleached Clamshells","2","CS",249250
"249110",249110.3,"2015-01-28 12:00:00","2015-01-28 12:00:00","TO-SC-U9","9 Unbleached Clamshells","1","CS",249110
"249240",249240.26,"2015-01-28 12:00:00","2015-01-28 12:00:00","TO-SC-U9-P","9 Unbleached Clamshells - Pack","1","PK",249240
"249240",249240.27,"2015-01-28 12:00:00","2015-01-28 12:00:00","TO-SC-U9T-P","9 Three Compartment Unbleached-Pack","1","PK",249240
"248924",248924.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","AS-PS-R","Assrtd Cutlery Retail Cornstarch12x24","18","CS",248924
"248181",248181.2,"2015-01-28 12:00:00","2015-01-28 12:00:00","BB-SC-U12-P","12 oz Unbleached Bowl  50/pack","1","PK",248181
"249284",249284.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","BB-SC-U12-P","12 oz Unbleached Bowl  50/pack","3","PK",249284
"248181",248181.16,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-10-P","10 oz Clear Cup  50/pack","1","PK",248181
"248181",248181.19,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-16-P","16 oz Clear Cup  50/pack","1","PK",248181
"249240",249240.4,"2015-01-28 12:00:00","2015-01-28 12:00:00","CP-CS-16-P","16 oz Clear Cup  50/pack","1","PK",249240
"248181",248181.8,"2015-01-28 12:00:00","2015-01-28 12:00:00","BO-SC-U11-P","11.5OZ UNBLEACHED BOWLS - PACKS","1","PK",248181
"248181",248181.76,"2015-01-28 12:00:00","2015-01-28 12:00:00","PL-SC-U10T-P","10in. 3 Compt. Unbleach Plate  50/pack","1","PK",248181
"249281",249281.9,"2015-01-28 12:00:00","2015-01-28 12:00:00","SL-PA-LG","100% Post Consumer Recycled Cup Sleeves","30","CS",249281
"249112",249112.4,"2015-01-28 12:00:00","2015-01-28 12:00:00","SL-PA-LG","100% Post Consumer Recycled Cup Sleeves","12","CS",249112
"249083",249083.15.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","SL-PA-LG","100% Post Consumer Recycled Cup Sleeves","13","CS",249083
"249083",249083.15,"2015-01-28 12:00:00","2015-01-28 12:00:00","SL-PA-LG","100% Post Consumer Recycled Cup Sleeves","2","CS",249083
"249127",249127.11,"2015-01-28 12:00:00","2015-01-28 12:00:00","SL-PA-LG","100% Post Consumer Recycled Cup Sleeves","2","CS",249127
"248181",248181.104,"2015-01-28 12:00:00","2015-01-28 12:00:00","TO-SC-U85-3-P","Unbleached 8.5 Container w/ Locking Hin","1","PK",248181
"249240",249240.25,"2015-01-28 12:00:00","2015-01-28 12:00:00","TO-SC-U85-3-P","Unbleached 8.5 Container w/ Locking Hin","1","PK",249240
"249240",249240.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","BO-PA-12-P","12 OZ PAPER BOWL - 50/pack","1","PK",249240
"248181",248181.6,"2015-01-28 12:00:00","2015-01-28 12:00:00","BO-PA-16-P","16 OZ PAPER BOWLS - 50/PACK","1","PK",248181
"249240",249240.2,"2015-01-28 12:00:00","2015-01-28 12:00:00","BO-PA-16-P","16 OZ PAPER BOWLS - 50/PACK","1","PK",249240
"248181",248181.53,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-20-P","20 OZ PAPER CUPS W/ PLA LINING - PACK","1","PK",248181
"249276",249276.17,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-8","8 OZ HOT PAPER CUPS FSC Mix Paper","4","CS",249276
"249274",249274.2,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-8","8 OZ HOT PAPER CUPS FSC Mix Paper","1","CS",249274
"249273",249273.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-8","8 OZ HOT PAPER CUPS FSC Mix Paper","3","CS",249273
"248871",248871.9,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-8","8 OZ HOT PAPER CUPS FSC Mix Paper","36","CS",248871
"249083",249083.10,"2015-01-28 12:00:00","2015-01-28 12:00:00","CU-PA-8","8 OZ HOT PAPER CUPS FSC Mix Paper","7","CS",249083
"248181",248181.79,"2015-01-28 12:00:00","2015-01-28 12:00:00","PL-SC-U9-P","Unbleached 9 Plate - Pack","1","PK",248181
"249293",249293.8,"2015-01-28 12:00:00","2015-01-28 12:00:00","PL-SC-U9-P","Unbleached 9 Plate - Pack","1","PK",249293
"249277",249277.4,"2015-01-28 12:00:00","2015-01-28 12:00:00","PL-SC-U9-P","Unbleached 9 Plate - Pack","5","PK",249277
"249240",249240.20,"2015-01-28 12:00:00","2015-01-28 12:00:00","PL-SC-U9-P","Unbleached 9 Plate - Pack","1","PK",249240
"249266",249266.3,"2015-01-28 12:00:00","2015-01-28 12:00:00","SB-CS-32","32 OZ SALAD BOWL-INGEO-COMPOSTABLE","1","CS",249266
"248871",248871.14,"2015-01-28 12:00:00","2015-01-28 12:00:00","SB-CS-32","32 OZ SALAD BOWL-INGEO-COMPOSTABLE","2","CS",248871
"249266",249266.4,"2015-01-28 12:00:00","2015-01-28 12:00:00","SBL-CS-32","32 OZ. SALAD BOWL LIDS - COMPOSTABLE","1","CS",249266
"248181",248181.80,"2015-01-28 12:00:00","2015-01-28 12:00:00","PL-SC-U9O-P","9in. Oval Unbleached Plate  50/pack","1","PK",248181
"248181",248181.100,"2015-01-28 12:00:00","2015-01-28 12:00:00","ST-CS-8W-P","7.9in. indiv. wrapped .25in. dia. 100/pk","1","PK",248181
"249240",249240.22,"2015-01-28 12:00:00","2015-01-28 12:00:00","ST-CS-8W-P","7.9in. indiv. wrapped .25in. dia. 100/pk","1","PK",249240
"249275",249275.1,"2015-01-28 12:00:00","2015-01-28 12:00:00","TR-SC-UF","5 COMPT UNBLEACHED WSF TRAY","1","CS",249275
"249087",249087.8.02,"2015-01-28 12:00:00","2015-01-28 12:00:00","TO-SC-U34D","34 OZ DOUBLE COMPT CLAMSHELL -UNBLEACHED","4","CS",249087
"249087",249087.8.01,"2015-01-28 12:00:00","2015-01-28 12:00:00","TO-SC-U34D","34 OZ DOUBLE COMPT CLAMSHELL -UNBLEACHED","60","CS",249087
"249087",249087.8,"2015-01-28 12:00:00","2015-01-28 12:00:00","TO-SC-U34D","34 OZ DOUBLE COMPT CLAMSHELL -UNBLEACHED","20","CS",249087
"249127",249127.13,"2015-01-28 12:00:00","2015-01-28 12:00:00","TO-SC-U34D","34 OZ DOUBLE COMPT CLAMSHELL -UNBLEACHED","6","CS",249127
